SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL01 - COR,J,700171,SUPORTE P/ PAPEL TOALHA (Un),,Central
AL01 - COR,J,700276,SACO PARA LIXO COM 100LTS (Un),,Central
AL01 - COR,J,717010, PAPEL HIGIENICO (RL),,Central
AL01 - COR,J,700208,SACO PARA LIXO COM 40LTS (Un),,Central
AL01 - COR,J,700207,SACO PARA LIXO COM 20LTS (Un),,Central
AL01 - COR,J,701010,PULVERIZADOR MULTIUSO 500ML (Un),,Central
AL01 - COR,J,717012,PAPEL HIGIÊNICO C/ 300M (Un),,Central
AL01 - COR,J,717017,PAPEL TOALHA BRANCO C/2400 F. (Un),,Central
AL01 - COR,J,717022,VASSOURA DE NYLON Nº 5 (Un),,Central
AL01 - COR,J,717034,SABÃO EM PÓ (KG),,Central
AL01 - COR,J,700214,PORTA PAPEL HIGIENICO P/ RL 400MT (Un),,Central
AL01 - COR,J,717024,POLIDOR DE ALUMINIO LIMPA FACIL 500ml (Un),,Central
AL01 - COR,J,700455,ALCOOL ISOPROPÍLICO 1000ML (L),,Central
AL01 - COR,J,760010,DETERGENTE LÍQUIDO PERFUMADO (L),,Central
AL01 - COR,J,760006,DESINFETANTE PERFUMADO (L),,Central
AL01 - COR,J,760002,ÁGUA SANITÁRIA (L),,Central
AL01 - COR,J,700456,ALCOOL GEL 70º 1000ML (L),,Central
AL01 - COR,J,700263,RODO PLASTICO 40CM (Un),,Central
AL01 - COR,I,316404,PREGO DE    2 X10        C/CAB (KG),,Central
AL01 - COR,I,316313,PREGO DE 1.1/2X12        C/CAB (KG),,Central
AL01 - COR,I,316405,PREGO DE    3 X8        C/CAB (KG),,Central
AL01 - COR,I,316209,PREGO DE    1 X15        C/CAB (KG),,Central
AL01 - COR,I,316453,PREGO DE    2 X12        C/CAB (KG),,Central
AL01 - COR,I,316258,PREGO DE 1.1/2X15        C/CAB (KG),,Central
AL01 - COR,I,238405,MOLA DA TRAVA DA CBHM (Un),,Central
AL01 - COR,I,238406,MOLA,,Central
AL01 - COR,I,238260,MOLA TRAVA IÇAM. FA/FP/C (Un),,Central
AL01 - COR,H11,289231,ROLAMENTO 32207 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H21,288986,ROLAMENTO 30207 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H31,289206,ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H41,289206,ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H12,289220,ROLAMENTO 33210 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H22,289024,ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H32,289024,ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L (Un),,Central
AL01 - COR,H42,284245,RETENTOR REF 00517 BR (AR,,Central
AL01 - COR,H13,284191,RETENTOR REF 1707 BR (AR,,Central
AL01 - COR,H23,288603,ROLAMENTO 30206 SPZ/ZWZ/GBR/1ªL (Un),,Central
AL01 - COR,H33,284210,RETENTOR REF 1552 BR (AR,,Central
AL01 - COR,H43,260826,BUCHA FLUTUANTE PARA FEIXE DE MOLAS (Un),,Central
AL01 - COR,H14,289269,ROLAMENTO REF. 32214 1º LINHA (Un),,Central
AL01 - COR,H24,289269,ROLAMENTO REF. 32214 1º LINHA (Un),,Central
AL01 - COR,H34,284282,RETENTOR REF 00793 BA (AR,,Central
AL01 - COR,H44,284282,RETENTOR REF 00793 BA (AR,,Central
AL01 - COR,HCH,110437,CHUMBO LINGOTE PURO MOLE (KG),,Central
AL01 - COR,G11,272401,PORCA CAST.  DE 1 UNS,,Central
AL01 - COR,G31,272504,PORCA CAST 1.1/2 S/COROA,,Central
AL01 - COR,G41,272504,PORCA CAST 1.1/2 S/COROA,,Central
AL01 - COR,G12,274033,PORCA CAST.  DE 7/8  UNF ZB (Un),,Central
AL01 - COR,G12,279158,PORCA SEX   1              UNC (Un),,Central
AL01 - COR,G22,273405,PORCA CÔN. 1/2 UNF,,Central
AL01 - COR,G32,273600,PORCA CON. 5/8 UNF CH,,Central
AL01 - COR,G42,273600,PORCA CON. 5/8 UNF CH,,Central
AL01 - COR,G13,274409,PORCA SEX     1/4  UNC  ZB (Un),,Central
AL01 - COR,G13,275098,PORCA  A/T. NY  3/4 ALTA UNF,,Central
AL01 - COR,G23,501307,PARAFUSO SEX 5/8 X 3.1/2 UNC (Un),,Central
AL01 - COR,G23,272403,"PORCA AC SX OSC C32/AA29 M22X1,50 CL10 CÓD. 79415 (7/8 UNF) (Un)",,Central
AL01 - COR,G23,274604,PORCA SEX     3/8  UNC  ZB (Un),,Central
AL01 - COR,G33,274203,PORCA SEX     3/4   UNC  ZB (Un),,Central
AL01 - COR,G43,272152,PORCA CAST.  DE 3/4  UNF ZB (Un),,Central
AL01 - COR,G14,274306,PORCA SEX     5/8  UNC  ZB (Un),,Central
AL01 - COR,G14,274288,PORCA SEX     5/8  UNF  ZB (Un),,Central
AL01 - COR,G24,274124,PORCA SEX     1/2   UNC  ZB (Un),,Central
AL01 - COR,G34,279419,PORCA  DUPLA DE 1/2  UNF,,Central
AL01 - COR,G34,274252,PORCA SEX    5/16  UNC  ZB (Un),,Central
AL01 - COR,G34,274057,PORCA SEX     1/2   UNF  ZB (Un),,Central
AL01 - COR,G44,274151,PORCA SEXTAVADA 1.1/4 UNF 8.8 (Un),,Central
