SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,110012,ACO LAMINADO RED 2.1/2 1045,,Almox Corte e Estamparia
MP,,110139,ACO LAMINADO RED 4 1045,,Almox Corte e Estamparia
MP,,110164,ACO LAMINADO RED 1 1020,,Almox Corte e Estamparia
MP,,110188,ACO LAMINADO RED 1/2 1020,,Almox Corte e Estamparia
MP,,110346,ACO LAMINADO RED 2 1020,,Almox Corte e Estamparia
MP,,110358,ACO LAMINADO RED 2 1045,,Almox Corte e Estamparia
MP,,110516,ACO LAMINADO RED 4.1/2 1045,,Almox Corte e Estamparia
MP,,112203,"ACO TREF. RED. SAE-1020 - 1/2""",,Almox Corte e Estamparia
MP,,112264,"AÇO RED. INOX 304 DE 1/4""",,Almox Corte e Estamparia
MP,,112434,"ACO TREF. RED. SAE-1020 - 3/4""",,Almox Corte e Estamparia
MP,,112501,"ACO TREF. RED. SAE-1020 - 5/16""",,Almox Corte e Estamparia
MP,,112834,"AÇO RED. INOX 304 DE 5/16""",,Almox Corte e Estamparia
MP,,112851,"AÇO RED INOX 304 DE 3/4""",,Almox Corte e Estamparia
MP,,112852,"AÇO RED INOX 304 DE 1""",,Almox Corte e Estamparia
MP,,117010,POLIPROPILENO NATURAL VIRGEM MATERIAL - NPCP141-PPCOPO POLIPR) C/CARGA S25,,Almox Corte e Estamparia
MP,,120007,CHAPA UHMW 12 X 1000 X 700 MM,,Almox Corte e Estamparia
MP,,120010,TARUGO NYLON 110 X 1000MM (NYLON 6.0),,Almox Corte e Estamparia
MP,,120012,CHAPA UHMW 6 X 920 X 1200 MM,,Almox Corte e Estamparia
MP,,120017,"CHAPA GQ 3/8 (9,53) A36/CIVIL300",,Almox Corte e Estamparia
MP,,120031,"CHAPA FQ #14 (1,20 x 6,00m) 1010",,Almox Corte e Estamparia
MP,,120054,"CHAPA GQ 5/8 (15,8) 1010",,Almox Corte e Estamparia
MP,,120110,"CHAPA A.DERR. 3,00mm. 1010",,Almox Corte e Estamparia
MP,,120112,"CHAPA ANTI-DERR. 4,75mm. 1010",,Almox Corte e Estamparia
MP,,120121,"CHAPA FF #18 (1,21) 1010",,Almox Corte e Estamparia
MP,,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",,Almox Corte e Estamparia
MP,,120134IMP,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300 IMP",,Almox Corte e Estamparia
MP,,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",,Almox Corte e Estamparia
MP,,120137,"BOBINA CHAPA LQ 2.00 X 1,50 A36/CIVIL300",,Almox Corte e Estamparia
