SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
COMPONENTES,,200391,KIT BOMBA MULTI-FLEX SEMI-COMPLETO (SEM GAIOLA),,Almox Pintura - Embalagem
COMPONENTES,,200401,"PORCA AUTOTRAVANTE 3/8"" UNC",,Almox Pintura - Embalagem
COMPONENTES,,200405,"PORCA AUTOTRAVANTE 1/2"" UNC",,Almox Pintura - Embalagem
COMPONENTES,,212027,"ARRUELA LISA INOX 1/4""",,Almox Pintura - Embalagem
COMPONENTES,,212091,"ARRUELA LISA 3/8"" ZB CHAPA 1,5MM",,Almox Pintura - Embalagem
COMPONENTES,,212092,"ARRUELA LISA 1/2"" CHAPA 1/8"" ZB OU ZA",,Almox Pintura - Embalagem
COMPONENTES,,212095,"ARRUELA LISA 1"" CH 3/16""",,Almox Pintura - Embalagem
COMPONENTES,,212096,"ARRUELA LISA ZB 5/16"" EXP. 1,5 MM",,Almox Pintura - Embalagem
COMPONENTES,,212097,"ARRUELA LISA 5/8"" GALV # 1/8""",,Almox Pintura - Embalagem
COMPONENTES,,212098,"ARRUELA LISA 1/4"" GALV",,Almox Pintura - Embalagem
COMPONENTES,,212246,"ARR. DE PRES. MÉDIA - ZB 1""",,Almox Pintura - Embalagem
COMPONENTES,,212263,"ARR. DE PRES. MÉDIA INOX 1/4""",,Almox Pintura - Embalagem
COMPONENTES,,212350,"ARR. DE PRES. MÉDIA - ZB 5/16""",,Almox Pintura - Embalagem
COMPONENTES,,212404,"ARR. DE PRES. MÉDIA - ZB 5/8""",,Almox Pintura - Embalagem
COMPONENTES,,212507,"ARR. DE PRES. MÉDIA - ZB 1/4""",,Almox Pintura - Embalagem
COMPONENTES,,212600,"ARR. DE PRES. MÉDIA - ZB 3/8""",,Almox Pintura - Embalagem
COMPONENTES,,213847,"CORREIA ABERTA 2L 1/8"" X 1/16"" - 350MM X 150MM",,Almox Pintura - Embalagem
COMPONENTES,,214105,RODA 6 FUROS RD (PARAF. 5/8),,Almox Pintura - Embalagem
COMPONENTES,,214108,RODA 6 FUROS TANDEM (PARAF. 5/8),,Almox Pintura - Embalagem
COMPONENTES,,214112,ARO 13 AGRICOLA 4.50E X 13 (175 X 998 X 3.75),,Almox Pintura - Embalagem
COMPONENTES,,216537,BORRACHA VEDAÇÃO CÓD. 84601-01,,Almox Pintura - Embalagem
COMPONENTES,,218406,CAMARA AR REF. 16 L 395 (K-16),,Almox Pintura - Embalagem
COMPONENTES,,218455,"CAMARA AR 750X16 (16"" L430)",,Almox Pintura - Embalagem
COMPONENTES,,222148,CONTRA PINO 3/16 X 1.1/2,,Almox Pintura - Embalagem
COMPONENTES,,222197,CONTRA PINO 1/8 X 1,,Almox Pintura - Embalagem
COMPONENTES,,222356,"GRAMPO R 4,5 X 80 ZB",,Almox Pintura - Embalagem
COMPONENTES,,222424,AÇO MT 28MM CRADO IMP SAE 1045 NORMAL COMPRIMENTO 371 + TERMINAL ROT C/ FUNDO SOLDAVEL T20/40 IMP REF. CÓD. 222422,,Almox Pintura - Embalagem
COMPONENTES,,222425,CABEÇOTE GUIA C/ VED. CN 050X040X028 + EMBOLO C/ VED. 040X015X040 + PORCA AUTO TRAVANTE M14X1.50 REF. CÓD. 222422,,Almox Pintura - Embalagem
COMPONENTES,,222427,TOMADA DE OLEO 1/4 BSP H16 TO G REF. CÓD. 222422,,Almox Pintura - Embalagem
COMPONENTES,,222432,TUBO TCH 072X060X06 ST52 BRUN 237MM REF. CÓD. 222422,,Almox Pintura - Embalagem
COMPONENTES,,222859,CONTRA PINO 3/16 X 3,,Almox Pintura - Embalagem
COMPONENTES,,224399,"PERFIL 15,00 X 30,00 ESP ER0033",,Almox Pintura - Embalagem
COMPONENTES,,234205,GRAXEIRO 1/4 UNF RETO,,Almox Pintura - Embalagem
COMPONENTES,,240235,"MANG DE SUCÇÃO AZUL 2""",,Almox Pintura - Embalagem
COMPONENTES,,240236,"MANG DE SUCÇÃO AZUL 4""",,Almox Pintura - Embalagem
COMPONENTES,,240237,"MANG DE SUCÇÃO AZUL 3""",,Almox Pintura - Embalagem
COMPONENTES,,240238,"MANG OLEO FLEX 4""",,Almox Pintura - Embalagem
COMPONENTES,,240462,CAPS DE VINIL DMPC 0740-1A,,Almox Pintura - Embalagem
COMPONENTES,,240471,CILINDRO TELESCÓPICO CBH 6T 10 OC NV,,Almox Pintura - Embalagem
COMPONENTES,,240640,"CIL. COMPL. CBHM/CBH CÓD. 4.1/2"" x 2"" x 335 mm",,Almox Pintura - Embalagem
COMPONENTES,,240643,"CILINDRO 2 ESTAGIO 57,15 MM BASC. LATERAL",,Almox Pintura - Embalagem
COMPONENTES,,257358,"PARAF ALLEN S/CAB 3/8 X 2"" UNC",,Almox Pintura - Embalagem
COMPONENTES,,257645,"PARAF ALLEN 1/4 X 2"" NC C/CAB.",,Almox Pintura - Embalagem
COMPONENTES,,258003,PARAF SEX 3/8 X 1.1/4 UNC ZB,,Almox Pintura - Embalagem
COMPONENTES,,258179,PARAF SEX 1/2 X 4.1/2 UNC,,Almox Pintura - Embalagem
COMPONENTES,,258192,PARAF SEX 3/4 X 2 8.8 UNF ZB,,Almox Pintura - Embalagem
COMPONENTES,,258416,PARAF SEX 5/16X 1.1/4 UNC,,Almox Pintura - Embalagem
COMPONENTES,,258570,PARAF SEX 3/8 X 2 UNC,,Almox Pintura - Embalagem
COMPONENTES,,260101,PARAF SEX 1/2 X 1.1/2 UNC ZB,,Almox Pintura - Embalagem
COMPONENTES,,260137,PARAF SEX 5/8 X 2.1/4 UNC,,Almox Pintura - Embalagem
COMPONENTES,,266176,PLACA DE IDENT. CEMAG,,Almox Pintura - Embalagem
COMPONENTES,,268150,PNEU 7.50-16 IMPL (16TT 10PR RA45),,Almox Pintura - Embalagem
COMPONENTES,,274124,PORCA SEX 1/2 UNC ZB,,Almox Pintura - Embalagem
