SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,117112,TARUGO NYLON RED. DE 35mm.,,Almox Prod Especiais
MP,,199786,"TARUGO BRONZE 5/8""",,Almox Prod Especiais
MP,,200040,"ADAPTADOR INTERNO 3/4"" RABO TATU",,Almox Prod Especiais
MP,,200047,"DISCO GRADE CONCAVO LISO 14,00""L 3,00MM 1F #26,98",,Almox Prod Especiais
MP,,200082,MOTOR R FLANGE QUADR. EIXO 25.4MM CÓD.M-LHRQ-125-C4,,Almox Prod Especiais
MP,,200162,LUVA P TERM FEMEA ETE7500 CÓD.000594,,Almox Prod Especiais
MP,,200163,TERMINAL FIO 3/8 IM160 CÓD.000700,,Almox Prod Especiais
MP,,200164,TUBO CORRUGADO 10MM 3/8 DNI5260 CÓD.000442,,Almox Prod Especiais
MP,,200167,"PORTA FUSIVEL LAM 1,5 HPL1,50 CÓD.002335",,Almox Prod Especiais
MP,,200175,"ADAPTADOR INTERNO 1/2"" (RABO DE TATU)",,Almox Prod Especiais
MP,,200196,LAMP H3 12V 12336PH,,Almox Prod Especiais
MP,,200200,LAMP 69 12V 12929PH,,Almox Prod Especiais
MP,,200203,TERMINAL BAT. SAPÃO ST78112R/HK301,,Almox Prod Especiais
MP,,200214,LUVA TERM ENCAX ETE7507,,Almox Prod Especiais
MP,,200217,ESPIGÃO SEXT MACHO 3/8 BSP I-304,,Almox Prod Especiais
MP,,200237,PLACA DE LIGAÇÃO G342/1(53/8)4WE6 REF. RP45052 / 71800393 02-1705 CÓD.0994,,Almox Prod Especiais
MP,,200246,CONECTOR EMENDA 2 POLOS HCRN-2 HELLERMAN ATÉ 4MM,,Almox Prod Especiais
MP,,200247,BUZINA BI-BI 124MM 12V 2TERM AVX70112,,Almox Prod Especiais
MP,,200248,PLUG UNIVERSAL P/ SOLENOIDE,,Almox Prod Especiais
MP,,200264,CONEC. SAK UNI. 36A EN PA BG 4MM,,Almox Prod Especiais
MP,,200265,CONEC. SAK UNI. 47A EN PA BG 6MM,,Almox Prod Especiais
MP,,200271,"PRENSA CB STECK 3/4""",,Almox Prod Especiais
MP,,200298,"CONECTOR PASSAGEM 8WA1011-1DF11 2,5MM",,Almox Prod Especiais
MP,,200299,GARRA FINAL P/CONECTOR 8WA1 808,,Almox Prod Especiais
MP,,200302,"CABO FLEXIVEL KV 3 X 1,5MM",,Almox Prod Especiais
MP,,200350,CONECTOR PASSAGEM PRESSÃO P80 CÓD.006038,,Almox Prod Especiais
MP,,200354,CHAVE IGNIÇÃO TRATOR 886019,,Almox Prod Especiais
MP,,200356,CONEC SAK 16MM (8WA1 204),,Almox Prod Especiais
MP,,200358,CH ALAV UNIP PVC PT 06A 250V (126/CS-301 DAFB2FP1),,Almox Prod Especiais
MP,,200359,"TERM PINO 10,00MM² VM(882400)",,Almox Prod Especiais
MP,,200360,"TERM PINO 04,00-06,00MM² LONGO AM 12/10AWG (882300)",,Almox Prod Especiais
MP,,200361,"TERM TUBO ISOL SIMP 02,50MM² AZ (692811)",,Almox Prod Especiais
MP,,200363,ACESS. ATUADOR HORIZ TZ93-01 CURVADO,,Almox Prod Especiais
MP,,200401,"PORCA AUTOTRAVANTE 3/8"" UNC",,Almox Prod Especiais
MP,,200405,"PORCA AUTOTRAVANTE 1/2"" UNC",,Almox Prod Especiais
MP,,200409,GUIA UHMW EST. MÓVEL 6 X 40 X 3000MM - MÁQ. P/ COLHEITA - PILOTO,,Almox Prod Especiais
MP,,200410,GUIA UHMW EST. MÓVEL 6 X 60 X 3000MM - MÁQ. P/ COLHEITA - PILOTO,,Almox Prod Especiais
MP,,200418,COMUTADOR 22MM PLAST MANOP CURTA 2PO S. 1NA,,Almox Prod Especiais
MP,,200421,CB FLEX 750V SIL 1MM,,Almox Prod Especiais
MP,,200422,"CB FLEX 750V SIL 1,5MM",,Almox Prod Especiais
MP,,200423,TERM ILHOS TUB 1MM,,Almox Prod Especiais
MP,,200424,"TERM ILHOS TUB 1,5MM",,Almox Prod Especiais
MP,,200429,ANILHA MARCAD MILLENIUM MHG2/5 5-6MM,,Almox Prod Especiais
MP,,200431,CABO PP 500V SIL 2 X 1MM,,Almox Prod Especiais
MP,,200440,BOTAO CSW BD55FR-WH DUPLO PULS. PRETO/PRETO S/ FLANGE C 12884115,,Almox Prod Especiais
MP,,200465,TERMINAL ILHOS 1.0mm,,Almox Prod Especiais
MP,,200466,TERMINAL ILHOS 1.5mm,,Almox Prod Especiais
MP,,200470,"Anilha identificador de fio 2,5MM N°0",,Almox Prod Especiais
MP,,200472,"Anilha identificador de fio 2,5MM N°2",,Almox Prod Especiais
MP,,200473,"Anilha identificador de fio 2,5MM N°3",,Almox Prod Especiais
MP,,200474,"Anilha identificador de fio 2,5MM N°4",,Almox Prod Especiais
MP,,200475,"Anilha identificador de fio 2,5MM N°5",,Almox Prod Especiais
MP,,200478,"Anilha identificador de fio 2,5MM N°8",,Almox Prod Especiais
MP,,200486,CABO CONTROLE 500V FLEX PT 25 X 1,,Almox Prod Especiais
MP,,200487,Conector Automotivo 2 Vias Selado Impermeável,,Almox Prod Especiais
MP,,200489,TAMPA SAK P/ PORTA FUSÍVEL MAT-F/MAB1,,Almox Prod Especiais
MP,,200490,CONEC. SAK C/ PORTA FUSÍVEL C/ SIN 24V MAT-F/MAB1F24,,Almox Prod Especiais
MP,,200492,CHAPA UHMW 5 X 80 X 130 [CTH4500],,Almox Prod Especiais
