SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
EIXO SIMPLES,A,33311,,1,Montagem
EIXO SIMPLES,A,31243,,2,Montagem
EIXO SIMPLES,A,31294,,3,Montagem
EIXO SIMPLES,A,31245,,4,Montagem
EIXO SIMPLES,A,31248,,5,Montagem
EIXO SIMPLES,A,33295,,6,Montagem
EIXO SIMPLES,B,25847,,7,Montagem
AL01,J,700171,SUPORTE P/ PAPEL TOALHA (Un),4,Central
AL01,J,700316,VEJA MULTI USO 500ML (Un),0,Central
AL01,J,700276,SACO PARA LIXO COM 100LTS (Un),8,Central
AL01,J,700015,PANO DE CHÃO ALVEJADO (Un),0,Central
AL01,J,700452,,0,Central
AL01,J,700208,SACO PARA LIXO COM 40LTS (Un),399,Central
AL01,J,700207,SACO PARA LIXO COM 20LTS (Un),100,Central
AL01,J,701010,PULVERIZADOR MULTIUSO 500ML (Un),73,Central
AL01,J,717012,PAPEL HIGIÊNICO C/ 300M (Un),176,Central
AL01,J,717017,PAPEL TOALHA BRANCO C/2400 F. (Un),2,Central
AL01,J,717113,PAPEL HIGIENICO PERFUMADO (Un),0,Central
AL01,J,717022,VASSOURA DE NYLON Nº 5,13,Central
AL01,J,717034,SABÃO EM PÓ (KG),10,Central
AL01,J,700214,PORTA PAPEL HIGIENICO P/ RL 400MT (Un),3,Central
AL01,J,717024,POLIDOR DE ALUMINIO LIMPA FACIL 500ml (Un),12,Central
AL01,J,700455,ALCOOL ISOPROPÍLICO 1000ML (L),4,Central
AL01,J,700332,MOP PO REFIL 40X12 (Un),0,Central
AL01,J,504299,PANO DE LIMPEZA (Un),0,Central
AL01,J,760010,DETERGENTE LÍQUIDO PERFUMADO (L),55,Central
AL01,J,760006,DESINFETANTE PERFUMADO (L),135,Central
AL01,J,760002,ÁGUA SANITÁRIA (L),45,Central
AL01,J,700456,ALCOOL GEL 70º 1000ML (L),150,Central
AL01,J,700258,PÁ PARA LIXO CABO LONGO PLASTICO (Un),0,Central
AL01,J,717083,VASSOURÃO GARY PIAÇAVA (Un),0,Central
AL01,J,700263,RODO PLASTICO 40CM (Un),5,Central
AL01,I,316404,PREGO DE 2 X10 C/CAB (KG),15,Central
AL01,I,316313,PREGO DE 1.1/2X12 C/CAB (KG),10,Central
AL01,I,316405,PREGO DE 3 X8 C/CAB (KG),11,Central
AL01,I,316209,PREGO DE 1 X15 C/CAB (KG),1,Central
AL01,I,316167,PREGO DE 3/4X17 (ITA) C/CAB,0,Central
AL01,I,316453,PREGO DE 2 X12 C/CAB (KG),5,Central
AL01,I,316301,PREGO DE 2.1/2X10 C/CAB (KG),0,Central
AL01,I,316258,PREGO DE 1.1/2X15 C/CAB (KG),1,Central
AL01,I,316465,"PREGO ARDOX C/ CAB. 2.1/2"" X 10 (KG)",5,Central
AL01,I,238405,MOLA DA TRAVA DA CBHM (Un),1830,Central
AL01,I,238406,MOLA - COMPL GUIA DO ÊMBOLO - CARR MELÃO 025086 (Un),206,Central
AL01,I,238260,MOLA TRAVA IÇAM. FA/FP/C (Un),605,Central
AL01,H11,289231,ROLAMENTO 32207 SPZ/ZWZ/GBR/1ª L (Un),43,Central
AL01,H21,288986,ROLAMENTO 30207 SPZ/ZWZ/GBR/1ª L (Un),496,Central
