Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
700171,SUPORTE P/ PAPEL TOALHA (Un),AL01,COR,J,AL01-COR-J,4,Central 
700316,VEJA MULTI USO 500ML (Un),AL01,COR,J,AL01-COR-J,0,Central 
700276,SACO PARA LIXO COM 100LTS (Un),AL01,COR,J,AL01-COR-J,8,Central 
700015,PANO DE CHÃO ALVEJADO (Un),AL01,COR,J,AL01-COR-J,0,Central 
700452,,AL01,COR,J,AL01-COR-J,0,Central 
700208,SACO PARA LIXO COM 40LTS (Un),AL01,COR,J,AL01-COR-J,399,Central 
700207,SACO PARA LIXO COM 20LTS (Un),AL01,COR,J,AL01-COR-J,100,Central 
701010,PULVERIZADOR MULTIUSO 500ML (Un),AL01,COR,J,AL01-COR-J,73,Central 
717012,PAPEL HIGIÊNICO C/ 300M (Un),AL01,COR,J,AL01-COR-J,176,Central 
717017,PAPEL TOALHA BRANCO C/2400 F. (Un),AL01,COR,J,AL01-COR-J,2,Central 
717113,PAPEL HIGIENICO PERFUMADO (Un),AL01,COR,J,AL01-COR-J,0,Central 
717022,VASSOURA DE NYLON Nº 5,AL01,COR,J,AL01-COR-J,13,Central 
717034,SABÃO EM PÓ (KG),AL01,COR,J,AL01-COR-J,10,Central 
700214,PORTA PAPEL HIGIENICO P/ RL 400MT (Un),AL01,COR,J,AL01-COR-J,3,Central 
717024,POLIDOR DE ALUMINIO LIMPA FACIL 500ml (Un),AL01,COR,J,AL01-COR-J,12,Central 
700455,ALCOOL ISOPROPÍLICO 1000ML (L),AL01,COR,J,AL01-COR-J,4,Central 
700332,MOP PO REFIL 40X12 (Un),AL01,COR,J,AL01-COR-J,0,Central 
504299,PANO DE LIMPEZA (Un),AL01,COR,J,AL01-COR-J,0,Central 
760010,DETERGENTE LÍQUIDO PERFUMADO (L),AL01,COR,J,AL01-COR-J,55,Central 
760006,DESINFETANTE PERFUMADO (L),AL01,COR,J,AL01-COR-J,135,Central 
760002,ÁGUA SANITÁRIA (L),AL01,COR,J,AL01-COR-J,45,Central 
700456,ALCOOL GEL 70º 1000ML (L),AL01,COR,J,AL01-COR-J,150,Central 
700258,PÁ PARA LIXO CABO LONGO PLASTICO (Un),AL01,COR,J,AL01-COR-J,0,Central 
717083,VASSOURÃO GARY PIAÇAVA (Un),AL01,COR,J,AL01-COR-J,0,Central 
700263,RODO PLASTICO 40CM (Un),AL01,COR,J,AL01-COR-J,5,Central 
316404,PREGO DE 2 X10 C/CAB (KG),AL01,COR,I,AL01-COR-I,15,Central 
316313,PREGO DE 1.1/2X12 C/CAB (KG),AL01,COR,I,AL01-COR-I,10,Central 
316405,PREGO DE 3 X8 C/CAB (KG),AL01,COR,I,AL01-COR-I,11,Central 
316209,PREGO DE 1 X15 C/CAB (KG),AL01,COR,I,AL01-COR-I,1,Central 
316167,PREGO DE 3/4X17 (ITA) C/CAB,AL01,COR,I,AL01-COR-I,0,Central 
316453,PREGO DE 2 X12 C/CAB (KG),AL01,COR,I,AL01-COR-I,5,Central 
316301,PREGO DE 2.1/2X10 C/CAB (KG),AL01,COR,I,AL01-COR-I,0,Central 
