SETOR,LOCALIZACAO,CODIGO,QTD,ALMOXARIFADO
CHAPA,,120134,"18881,79",Almox Central
CHAPA,,120136,"67552,11",Almox Central
CHAPA,,120278,"37164,15",Almox Central
CHAPA,,120305,"38099,95",Almox Central
CHAPA,,120545,"15365,99",Almox Central
CHAPA,,120547,"44018,4",Almox Central
CHAPA,,120549,"77955,43",Almox Central
CHAPA,,120110,"2814,92",Almox Central
CHAPA,,120112,269,Almox Central
CHAPA,,120201,"23370,31",Almox Central
CHAPA,,120205,"2599,92",Almox Central
CHAPA,,120206,"12326,02",Almox Central
CHAPA,,120012,1,Almox Central
CHAPA,,120016,70,Almox Central
CHAPA,,120018,3303,Almox Central
CHAPA,,120022,"2,2",Almox Central
CHAPA,,120023,10,Almox Central
CHAPA,,120790,690,Almox Central
CHAPA,,120819,"415,34",Almox Central
CHAPA,,120846,"279,2",Almox Central
CHAPA,,120871,160,Almox Central
CHAPA,,120873,438,Almox Central
CHAPA,,120832,"22,57",Almox Central
CHAPA,,120844,"420,68",Almox Central
CHAPA,,120845,"275,99",Almox Central
CHAPA,,120868,"1842,34",Almox Central
CHAPA,,120870,"3473,5",Almox Central
CHAPA,,120893,"231,62",Almox Central
CHAPA,,120985,4,Almox Central
CHAPA,,120017,"3391,2",Almox Central
CHAPA,,120043,"236,18",Almox Central
CHAPA,,120558,"2274,75",Almox Central
CHAPA,,120911,"418,72",Almox Central
CHAPA,,120923,"5951,46",Almox Central
CHAPA,,120121,"683,28",Almox Central
CHAPA,,120900,180,Almox Central
CHAPA,,120376,"365,59",Almox Central
CHAPA,,120509,"1101,87",Almox Central
PERFIL,,126160,"75,97",Almox Central
PERFIL,,126202,"455,4",Almox Central
PERFIL,,126214,"83,56",Almox Central
PERFIL,,126226,"1540,58",Almox Central
PERFIL,,126329,228,Almox Central
PERFIL,,126457,"410,4",Almox Central
PERFIL,,126706,"51,08",Almox Central
PERFIL,,126755,"161,02",Almox Central
PERFIL,,126901,"1732,08",Almox Central
PERFIL,,126615,"227,7",Almox Central
PERFIL,,199776,0,Almox Central
PERFIL,,126299,"1052,24",Almox Central
PERFIL,,124096,"2,5",Almox Central
PERFIL,,124102,"77,33",Almox Central
PERFIL,,124114,160,Almox Central
PERFIL,,124205,190,Almox Central
PERFIL,,124394,"273,89",Almox Central
PERFIL,,124060,"19,84",Almox Central
PERFIL,,124577,"4,7",Almox Central
PERFIL,,199814,120,Almox Central
PERFIL,,112264,115,Almox Central
PERFIL,,112852,144,Almox Central
PERFIL,,112860,24,Almox Central
PERFIL,,112872,"55,5",Almox Central
PERFIL,,112874,"56,15",Almox Central
PERFIL,,112896,"381,84",Almox Central
PERFIL,,112926,"15,4",Almox Central
PERFIL,,112975,"13,5",Almox Central
PERFIL,,112795,"0,02",Almox Central
PERFIL,,112822,10,Almox Central
PERFIL,,112834,40,Almox Central
PERFIL,,112847,102,Almox Central
PERFIL,,112850,"30,5",Almox Central
PERFIL,,112851,108,Almox Central
PERFIL,,110000,474,Almox Central
PERFIL,,110006,"0,01",Almox Central
PERFIL,,110085,"0,01",Almox Central
PERFIL,,110097,652,Almox Central
PERFIL,,110139,"882,21",Almox Central
PERFIL,,110140,"477,08",Almox Central
PERFIL,,110335,10,Almox Central
PERFIL,,110516,"2274,12",Almox Central
PERFIL,,110517,600,Almox Central
PERFIL,,110565,"550,09",Almox Central
PERFIL,,110670,"0,83",Almox Central
PERFIL,,110735,"1248,73",Almox Central
PERFIL,,110747,"340,3",Almox Central
PERFIL,,110784,"781,3",Almox Central
PERFIL,,110838,0,Almox Central
PERFIL,,110929,"424,5",Almox Central
PERFIL,,110012,"8277,44",Almox Central
PERFIL,,110048,"99,44",Almox Central
PERFIL,,110103,"1,9",Almox Central
PERFIL,,110164,"126,6",Almox Central
PERFIL,,110220,0,Almox Central
PERFIL,,110309,"33,44",Almox Central
PERFIL,,110322,"297,04",Almox Central
PERFIL,,110346,"1335,6",Almox Central
PERFIL,,110358,"1240,2",Almox Central
PERFIL,,110528,88,Almox Central
PERFIL,,110553,0,Almox Central
PERFIL,,110607,19,Almox Central
PERFIL,,110700,"0,01",Almox Central
PERFIL,,110980,"2226,29",Almox Central
PERFIL,,112802,56,Almox Central
PERFIL,,199839,5,Almox Central
PERFIL,,112150,"166,74",Almox Central
PERFIL,,112203,630,Almox Central
PERFIL,,112215,"122,39",Almox Central
PERFIL,,112306,"672,84",Almox Central
PERFIL,,112410,"223,49",Almox Central
PERFIL,,112434,"480,8",Almox Central
PERFIL,,112458,102,Almox Central
PERFIL,,112460,37,Almox Central
PERFIL,,112501,"81,04",Almox Central
PERFIL,,112502,"1335,6",Almox Central
PERFIL,,112525,"215,61",Almox Central
PERFIL,,112801,"0,8",Almox Central
PERFIL,,112914,"0,3",Almox Central
PERFIL,,113049,220,Almox Central
PERFIL,,113050,221,Almox Central
PERFIL,,554692,"18,72",Almox Central
PERFIL,,126008,27,Almox Central
PERFIL,,126010,24,Almox Central
PERFIL,,126011,12,Almox Central
PERFIL,,110437,180,Almox Central
PERFIL,,117006,8,Almox Central
PERFIL,,117008,"9,56",Almox Central
PERFIL,,117009,65,Almox Central
PERFIL,,117112,"5,98",Almox Central
PERFIL,,117113,"28,2",Almox Central
PERFIL,,136815,10,Almox Central
PERFIL,,130152,"57,6",Almox Central
PERFIL,,130256,106,Almox Central
PERFIL,,130552,"234,82",Almox Central
PERFIL,,130590,"577,48",Almox Central
PERFIL,,130631,69,Almox Central
PERFIL,,130634,340,Almox Central
PERFIL,,133644,6,Almox Central
PERFIL,,134011,"5023,87",Almox Central
PERFIL,,134016,"316,07",Almox Central
PERFIL,,134017NAC,"2577,96",Almox Central
PERFIL,,134018,301,Almox Central
PERFIL,,134018NAC,"3133,44",Almox Central
PERFIL,,134019NAC,"1211,28",Almox Central
PERFIL,,134020NAC,"1202,88",Almox Central
PERFIL,,134021,"116,3",Almox Central
PERFIL,,134023,"243,86",Almox Central
PERFIL,,134024,"103,9",Almox Central
PERFIL,,134025,"42,07",Almox Central
PERFIL,,134026,"61,94",Almox Central
PERFIL,,134031NAC,"3183,31",Almox Central
PERFIL,,134032,"37,68",Almox Central
PERFIL,,134033,40,Almox Central
PERFIL,,134034,"67,82",Almox Central
PERFIL,,134035,"1808,6",Almox Central
PERFIL,,134036,"11,6",Almox Central
PERFIL,,134037,84,Almox Central
PERFIL,,134038,"5,1",Almox Central
PERFIL,,134040,54,Almox Central
PERFIL,,134043,132,Almox Central
PERFIL,,134044,"2,3",Almox Central
PERFIL,,134045,60,Almox Central
PERFIL,,134048,6,Almox Central
PERFIL,,134049,"47,87",Almox Central
PERFIL,,134050,"150,42",Almox Central
PERFIL,,134051,"38,9",Almox Central
PERFIL,,134055NAC,"683,76",Almox Central
PERFIL,,134057,145,Almox Central
PERFIL,,134057NAC,"698,88",Almox Central
PERFIL,,134060,"2255,76",Almox Central
PERFIL,,134062NAC,"3364,51",Almox Central
PERFIL,,134063,"2250,91",Almox Central
PERFIL,,134063NAC,"536,4",Almox Central
PERFIL,,134066,"1867,75",Almox Central
PERFIL,,134088,90,Almox Central
PERFIL,,134447,32,Almox Central
PERFIL,,134449,56,Almox Central
PERFIL,,134451,"26,93",Almox Central
PERFIL,,134453,"10,48",Almox Central
PERFIL,,134455,"13,4",Almox Central
PERFIL,,134697,20,Almox Central
PERFIL,,134882,"47,5",Almox Central
PERFIL,,134883,"17,15",Almox Central
PERFIL,,134887,"154,77",Almox Central
PERFIL,,134891,38,Almox Central
PERFIL,,134030,"420,88",Almox Central
PERFIL,,134053,106,Almox Central
PERFIL,,134077,133,Almox Central
PERFIL,,134078,"68,4",Almox Central
PERFIL,,134107,"267,48",Almox Central
PERFIL,,134110,14,Almox Central
PERFIL,,134123,202,Almox Central
PERFIL,,134124,169,Almox Central
PERFIL,,134127,"925,29",Almox Central
PERFIL,,134128,"203,19",Almox Central
PERFIL,,134132,"153,51",Almox Central
PERFIL,,134133,"100,94",Almox Central
PERFIL,,134134,70,Almox Central
PERFIL,,134144,456,Almox Central
PERFIL,,134156,"6,56",Almox Central
PERFIL,,134157,"393,44",Almox Central
PERFIL,,134170,"275,73",Almox Central
PERFIL,,134171,"32,5",Almox Central
PERFIL,,134172,"141,62",Almox Central
PERFIL,,134181,"19,4",Almox Central
PERFIL,,134183,"122,64",Almox Central
PERFIL,,134194,"78,37",Almox Central
PERFIL,,134196,105,Almox Central
PERFIL,,134200,"8,84",Almox Central
PERFIL,,134212,321,Almox Central
PERFIL,,134223,"147,03",Almox Central
PERFIL,,134224,"266,46",Almox Central
PERFIL,,134272,"39,21",Almox Central
PERFIL,,134326,20,Almox Central
PERFIL,,134339,"91,83",Almox Central
PERFIL,,134375,"799,69",Almox Central
PERFIL,,134388,594,Almox Central
PERFIL,,134399,6,Almox Central
PERFIL,,134430,"223,74",Almox Central
PERFIL,,134491,"210,37",Almox Central
PERFIL,,134510,15,Almox Central
PERFIL,,134522,284,Almox Central
PERFIL,,134625,"302,56",Almox Central
PERFIL,,134627,"45,9",Almox Central
PERFIL,,134686,102,Almox Central
PERFIL,,134687,78,Almox Central
PERFIL,,134688,12,Almox Central
PERFIL,,134690,"16,5",Almox Central
PERFIL,,134691,36,Almox Central
PERFIL,,134692,54,Almox Central
PERFIL,,134693,6,Almox Central
PERFIL,,134716,221,Almox Central
PERFIL,,134789,"275,4",Almox Central
PERFIL,,134790,242,Almox Central
PERFIL,,134855,"102,52",Almox Central
PERFIL,,134892,"956,34",Almox Central
PERFIL,,134900,"468,03",Almox Central
